Sand,Clay,Silt,pH,EC,N,,K,SoilType
32.0,48.0,20.0,6.64,0.495,5.152756,19.9001,222.0,Clay
36.0,32.0,32.0,6.34,0.239,2.775082,31.144,132.0,Clay loam
36.0,32.0,32.0,7.54,0.33,23.688678,30.067700000000002,116.39999999999999,Clay loam
20.0,50.0,30.0,5.7,0.196,3.039268,67.9443,286.8,Clay
16.0,36.0,48.0,7.82,0.316,23.998024,33.1821,382.8,Clay loam
28.0,42.0,30.0,5.2,0.324,26.287636,93.13430000000001,298.8,Clay
34.0,34.0,32.0,7.8,0.407,27.035034,25.258699999999997,423.59999999999997,Clay loam
40.0,26.0,34.0,8.06,0.285,19.154614,8.1066,181.2,Loam
22.0,34.0,44.0,7.89,0.362,21.708412,12.7095,433.2,Clay loam
30.0,38.0,32.0,7.71,1.219,73.53177,224.96959999999999,685.1999999999999,Clay loam
42.0,18.0,40.0,8.15,0.309,21.003916,26.815900000000003,225.6,Loam
18.0,40.0,42.0,8.04,0.297,18.362056,12.388900000000001,310.8,Silty clay
18.0,44.0,38.0,8.04,0.311,17.348214,15.045300000000001,360.0,Clay
24.0,24.0,52.0,8.16,0.267,19.4188,9.572199999999999,163.2,Silt loam
24.0,22.0,54.0,7.97,0.249,23.029342,12.526299999999999,236.39999999999998,Silt loam
34.0,34.0,32.0,7.8,0.641,45.616116,38.472,396.0,Clay loam
42.0,22.0,36.0,7.82,0.461,32.230692,72.8449,322.8,Loam
48.0,20.0,32.0,8.03,0.308,21.751314,14.7247,207.6,Loam
22.0,50.0,28.0,6.25,0.243,18.273994,16.762800000000002,266.4,Clay
16.0,64.0,20.0,7.44,0.39,3.35,63.6849,262.8,Clay
38.0,32.0,30.0,4.63,0.87,39.58,25.5564,146.4,Clay loam
38.0,28.0,34.0,4.55,0.543,25.45,49.235,127.19999999999999,Clay loam
34.0,36.0,30.0,7.59,0.331,1.72,20.0146,147.6,Clay loam
18.0,46.0,36.0,7.13,0.433,15.01,24.6633,402.0,Clay
22.0,30.0,48.0,7.55,0.371,5.06,32.4493,169.2,Clay loam
44.0,22.0,34.0,5.5,0.291,3.04,37.0522,85.2,Loam
44.0,22.0,34.0,6.08,0.599,22.06,21.915300000000002,216.0,Loam
48.0,20.0,32.0,4.82,0.322,11.62,54.5478,166.79999999999998,Loam
48.0,28.0,24.0,6.46,0.753,19.42,67.09700000000001,255.6,Sandy clay loam
38.0,20.0,42.0,4.97,0.355,17.17,34.2584,147.6,Loam
48.0,16.0,36.0,6.41,0.333,7.57,13.098799999999999,163.2,Loam
32.0,40.0,28.0,5.97,0.319,6.08,17.3811,158.4,Clay
34.0,38.0,28.0,5.92,0.244,4.09,23.174799999999998,178.79999999999998,Clay loam
46.0,30.0,24.0,6.36,0.382,13.34,42.4108,339.59999999999997,Sandy clay loam
32.0,38.0,30.0,7.43,5.621,63.62,181.0932,487.2,Clay loam
34.0,36.0,30.0,7.58,3.45,74.15,133.3238,789.6,Clay loam
32.0,42.0,26.0,7.24,0.577,20.91,38.5865,949.1999999999999,Clay
24.0,46.0,30.0,6.63,0.585,17.13,22.212999999999997,614.4,Clay
38.0,34.0,28.0,7.66,0.419,5.15,10.4195,362.4,Clay loam
24.0,50.0,26.0,7.53,0.611,8.01,15.320100000000002,255.6,Clay
34.0,32.0,34.0,7.2,0.48,19.29,16.5796,348.0,Clay loam
28.0,46.0,26.0,7.43,0.389,5.94,21.1138,760.8,Clay
34.0,36.0,30.0,7.68,0.332,0.79,7.1448,165.6,Clay loam
54.0,28.0,18.0,7.45,0.376,15.41,15.8239,270.0,Sandy clay loam
16.0,50.0,34.0,7.6,0.336,13.17,8.427200000000001,567.6,Clay
20.0,58.0,22.0,7.67,0.418,0.35,8.4501,327.59999999999997,Clay
22.0,50.0,28.0,7.54,0.377,9.25,5.5876,850.8,Clay
18.0,44.0,38.0,7.6,0.345,4.67,7.6944,456.0,Clay
18.0,52.0,30.0,7.54,0.388,2.6,6.87,601.1999999999999,Clay
24.0,50.0,26.0,7.51,0.334,8.45,8.5417,634.8,Clay
24.0,46.0,30.0,7.61,0.357,7.79,14.3354,513.6,Clay
26.0,42.0,32.0,7.7,0.314,3.83,22.5565,433.2,Clay
30.0,40.0,30.0,7.72,0.403,14.53,18.5948,447.59999999999997,Clay
44.0,28.0,28.0,7.6,0.382,10.57,31.7623,339.59999999999997,Clay loam
16.0,56.0,28.0,6.81,0.505,0.92,33.685900000000004,304.8,Clay
24.0,50.0,26.0,6.46,0.706,5.5,36.7316,589.1999999999999,Clay
48.0,18.0,34.0,7.24,0.409,8.72,53.26540000000001,205.2,Loam
44.0,28.0,28.0,6.06,0.454,17.39,63.8452,253.2,Clay loam
30.0,46.0,24.0,5.71,0.226,12.59,57.730900000000005,498.0,Clay
18.0,48.0,34.0,7.48,0.328,8.01,16.5796,444.0,Clay
42.0,26.0,32.0,6.43,0.83,3.74,28.144099999999998,205.2,Loam
28.0,44.0,28.0,7.58,0.318,9.73,10.625599999999999,405.59999999999997,Clay
18.0,56.0,26.0,6.64,0.54,13.17,31.4875,493.2,Clay
20.0,50.0,30.0,7.16,0.436,5.2,18.2284,230.39999999999998,Clay
34.0,30.0,36.0,7.73,0.348,12.55,12.7095,332.4,Clay loam
32.0,28.0,40.0,7.66,0.306,0.31,12.1828,140.4,Clay loam
24.0,44.0,32.0,7.53,0.483,14.75,13.900300000000001,206.4,Clay
34.0,38.0,28.0,7.66,0.31,7.4,12.8698,290.4,Clay loam
24.0,38.0,38.0,7.69,0.323,7.09,10.0989,349.2,Clay loam
36.0,30.0,34.0,7.64,0.398,0.84,10.969100000000001,148.79999999999998,Clay loam
24.0,42.0,34.0,7.7,0.311,6.47,8.7478,232.79999999999998,Clay
24.0,54.0,22.0,7.52,0.35,7.97,8.473,390.0,Clay
46.0,28.0,26.0,7.51,0.419,4.27,8.7936,144.0,Sandy clay loam
42.0,22.0,36.0,7.66,0.314,8.23,7.1219,198.0,Loam
28.0,44.0,28.0,6.18,0.72,12.72,22.006899999999998,316.8,Clay
36.0,40.0,24.0,5.9,0.198,3.74,27.6403,170.4,Clay
28.0,44.0,28.0,7.51,0.302,6.43,10.3279,524.4,Clay
34.0,38.0,28.0,7.69,0.375,3.13,16.4422,296.4,Clay loam
26.0,42.0,32.0,7.67,0.364,11.89,6.7784,218.4,Clay
22.0,52.0,26.0,7.48,0.388,10.0,9.1371,295.2,Clay
42.0,22.0,36.0,7.81,0.345,3.79,8.862300000000001,141.6,Loam
24.0,46.0,30.0,6.98,0.494,5.37,19.9917,222.0,Clay
52.0,26.0,22.0,6.15,0.587,3.74,17.2208,146.4,Sandy loam
42.0,30.0,28.0,7.28,0.416,10.48,17.0834,202.79999999999998,Clay loam
30.0,32.0,38.0,7.69,0.394,7.93,18.961199999999998,320.4,Clay loam
40.0,28.0,32.0,7.71,0.39,12.15,9.0684,147.6,Clay loam
28.0,28.0,44.0,7.68,0.361,12.59,9.9386,231.6,Clay loam
22.0,34.0,44.0,7.71,0.404,14.49,7.3509,168.0,Clay loam
24.0,30.0,46.0,7.75,0.354,11.01,17.7475,148.79999999999998,Clay loam
18.0,56.0,26.0,6.89,0.508,5.72,21.1596,356.4,Clay
20.0,54.0,26.0,7.64,0.475,10.35,34.0065,424.8,Clay
36.0,30.0,34.0,7.64,0.385,9.33,12.7095,252.0,Clay loam
30.0,44.0,26.0,7.64,0.474,4.76,10.6714,360.0,Clay
22.0,52.0,26.0,7.48,0.446,10.04,5.5876,487.2,Clay
26.0,48.0,26.0,6.42,0.665,1.94,16.923099999999998,393.59999999999997,Clay
30.0,40.0,30.0,7.74,0.33,5.68,10.3508,426.0,Clay
28.0,44.0,28.0,7.49,0.377,5.64,11.908000000000001,303.59999999999997,Clay
24.0,46.0,30.0,7.12,0.464,7.49,8.5417,402.0,Clay
28.0,28.0,44.0,7.78,0.331,6.16,13.6484,159.6,Clay loam
36.0,26.0,38.0,7.7,0.382,14.66,9.1142,198.0,Loam
32.0,42.0,26.0,7.0,0.517,13.56,13.74,254.39999999999998,Clay
32.0,36.0,32.0,7.61,0.343,5.55,10.6027,248.39999999999998,Clay loam
40.0,32.0,28.0,7.05,0.558,10.39,23.4954,301.2,Clay loam
20.0,50.0,30.0,7.29,0.483,19.55,11.106499999999999,374.4,Clay
30.0,38.0,32.0,7.55,0.427,8.54,19.9001,297.59999999999997,Clay loam
40.0,34.0,26.0,7.63,0.515,17.08,11.4729,354.0,Sandy clay loam
26.0,50.0,24.0,7.58,0.399,7.93,14.7476,636.0,Clay
26.0,46.0,28.0,7.37,0.421,11.1,17.4956,339.59999999999997,Clay
54.0,22.0,24.0,4.78,0.174,11.58,48.2961,146.4,Sandy loam
42.0,36.0,22.0,6.65,0.701,12.86,31.1211,208.79999999999998,Sandy clay loam
36.0,32.0,32.0,7.82,0.296,8.94,7.1448,218.4,Clay loam
34.0,34.0,32.0,7.31,0.458,21.93,25.0297,313.2,Clay loam
28.0,36.0,36.0,7.8,0.262,2.99,2.7709,291.59999999999997,Clay loam
24.0,40.0,36.0,7.63,0.408,20.39,9.16,248.39999999999998,Clay
26.0,38.0,36.0,7.55,0.457,9.6,33.525600000000004,361.2,Clay loam
26.0,38.0,36.0,7.73,0.306,3.3,8.6104,237.6,Clay loam
40.0,32.0,28.0,7.75,0.558,20.47,116.65259999999999,462.0,Clay loam
38.0,36.0,26.0,7.55,0.617,12.77,140.2396,400.8,Sandy clay loam
30.0,42.0,28.0,7.64,0.418,7.4,6.0456,362.4,Clay
26.0,46.0,28.0,7.62,0.371,8.41,5.8853,435.59999999999997,Clay
44.0,40.0,16.0,7.69,0.29,7.93,8.6333,427.2,Clay
24.0,46.0,30.0,7.65,0.343,4.62,6.3662,409.2,Clay
22.0,46.0,32.0,7.68,0.351,8.81,11.312600000000002,424.8,Clay
42.0,36.0,22.0,7.66,0.373,3.92,7.099,417.59999999999997,Sandy clay loam
22.0,62.0,16.0,7.62,0.464,3.43,21.5031,385.2,Clay
30.0,46.0,24.0,6.99,0.526,6.3,26.1518,280.8,Clay
42.0,32.0,26.0,7.59,0.4,9.2,24.2511,292.8,Sandy clay loam
30.0,42.0,28.0,7.56,0.37,3.48,8.908100000000001,402.0,Clay
24.0,40.0,36.0,7.62,0.359,7.13,12.1828,194.4,Clay
20.0,40.0,40.0,7.75,0.357,13.96,8.4043,236.39999999999998,Silty clay
32.0,30.0,38.0,7.66,0.252,3.43,9.0913,175.2,Clay loam
28.0,44.0,28.0,7.62,0.318,4.09,7.2135,312.0,Clay
24.0,50.0,26.0,7.66,0.342,10.17,9.915700000000001,340.8,Clay
16.0,58.0,26.0,6.77,0.421,11.84,16.0071,435.59999999999997,Clay
24.0,48.0,28.0,7.5,0.484,12.46,21.938200000000002,435.59999999999997,Clay
26.0,36.0,38.0,7.69,0.408,9.64,12.4118,224.4,Clay loam
18.0,54.0,28.0,6.91,0.595,4.58,28.167,433.2,Clay
62.0,20.0,18.0,6.66,0.531,13.21,58.4179,166.79999999999998,Sandy loam
38.0,40.0,22.0,6.8,0.546,8.67,29.105900000000002,258.0,Clay
44.0,34.0,22.0,6.56,0.767,11.84,27.2968,230.39999999999998,Sandy clay loam
40.0,30.0,30.0,7.64,0.375,1.72,19.9459,253.2,Clay loam
24.0,40.0,36.0,7.6,0.401,15.54,17.1521,409.2,Clay
20.0,56.0,24.0,7.52,0.398,7.09,13.053,538.8,Clay
24.0,42.0,34.0,7.5,0.456,5.94,18.32,384.0,Clay
24.0,46.0,30.0,7.55,0.488,8.23,10.8775,408.0,Clay
26.0,44.0,30.0,7.41,0.442,6.21,19.579500000000003,463.2,Clay
30.0,42.0,28.0,7.53,0.395,3.08,31.968400000000003,457.2,Clay
24.0,46.0,30.0,7.64,0.419,7.35,164.1701,715.1999999999999,Clay
22.0,48.0,30.0,7.63,0.405,11.98,18.4803,422.4,Clay
38.0,34.0,28.0,7.66,0.388,9.47,49.1892,367.2,Clay loam
22.0,48.0,30.0,7.59,0.467,25.41,19.579500000000003,500.4,Clay
24.0,42.0,34.0,7.64,0.363,22.19,18.800900000000002,382.8,Clay
22.0,46.0,32.0,7.54,0.32,10.96,24.2969,393.59999999999997,Clay
30.0,40.0,30.0,7.44,0.453,29.9,16.9002,376.8,Clay
26.0,50.0,24.0,6.36,0.509,33.02,46.509899999999995,463.2,Clay
30.0,56.0,14.0,7.17,0.364,25.23,23.7015,193.2,Clay
22.0,54.0,24.0,7.46,0.408,12.72,6.4578,297.59999999999997,Clay
38.0,32.0,30.0,7.66,0.387,9.29,8.0837,198.0,Clay loam
28.0,46.0,26.0,7.61,0.355,9.11,8.9997,139.2,Clay
36.0,30.0,34.0,7.56,0.388,16.82,9.9844,331.2,Clay loam
28.0,44.0,28.0,7.53,0.372,15.28,17.1063,192.0,Clay
34.0,40.0,26.0,7.48,0.367,18.14,9.1142,247.2,Clay
40.0,28.0,32.0,5.99,0.342,12.11,31.8539,184.79999999999998,Clay loam
42.0,32.0,26.0,7.45,0.402,8.19,18.984099999999998,194.4,Sandy clay loam
44.0,22.0,34.0,6.81,0.422,10.39,77.6997,195.6,Loam
34.0,36.0,30.0,7.59,0.341,12.9,22.4649,428.4,Clay loam
52.0,20.0,28.0,6.72,0.33,3.96,24.2969,144.0,Loam
38.0,28.0,34.0,7.66,0.385,9.07,15.8239,248.39999999999998,Clay loam
34.0,36.0,30.0,7.32,0.38,11.49,37.807900000000004,342.0,Clay loam
40.0,24.0,36.0,7.64,0.372,17.83,20.907700000000002,189.6,Loam
40.0,26.0,34.0,7.66,0.45,17.13,16.4422,144.0,Loam
20.0,58.0,22.0,6.7,0.455,10.3,7.8776,399.59999999999997,Clay
22.0,46.0,32.0,6.98,0.454,1.98,22.190099999999997,170.4,Clay
26.0,48.0,26.0,6.94,0.447,7.57,18.1139,186.0,Clay
30.0,42.0,28.0,6.66,0.458,12.55,46.7389,243.6,Clay
24.0,46.0,30.0,6.3,0.487,10.7,29.3349,136.79999999999998,Clay
16.0,54.0,30.0,6.2,0.381,26.86,89.1497,360.0,Clay
14.0,60.0,26.0,6.35,0.499,10.44,73.3945,786.0,Clay
26.0,56.0,18.0,7.36,0.5,20.61,13.1217,567.6,Clay
40.0,28.0,32.0,7.65,0.384,9.2,13.030100000000001,224.4,Clay loam
34.0,36.0,30.0,7.66,0.386,12.9,25.0297,274.8,Clay loam
38.0,30.0,32.0,7.62,0.537,31.17,19.694,277.2,Clay loam
46.0,18.0,36.0,7.81,0.414,6.16,33.731700000000004,496.79999999999995,Loam
30.0,46.0,24.0,7.24,0.412,12.06,16.6483,697.1999999999999,Clay
30.0,48.0,22.0,7.18,0.387,7.62,93.11139999999999,447.59999999999997,Clay
48.0,28.0,24.0,7.69,0.383,5.15,14.152199999999999,583.1999999999999,Sandy clay loam
26.0,50.0,24.0,7.48,0.362,7.27,19.1902,248.39999999999998,Clay
34.0,38.0,28.0,7.61,0.379,13.39,14.381200000000002,105.6,Clay loam
20.0,54.0,26.0,6.67,0.345,5.86,13.0759,364.8,Clay
34.0,30.0,36.0,5.16,0.347,20.83,30.182199999999998,70.8,Clay loam
28.0,44.0,28.0,7.12,0.36,14.0,13.4881,242.39999999999998,Clay
22.0,56.0,22.0,6.24,0.8,8.63,27.136499999999998,405.59999999999997,Clay
28.0,40.0,32.0,5.15,0.325,22.5,54.2043,920.4,Clay
28.0,46.0,26.0,6.74,0.516,14.35,60.2499,366.0,Clay
32.0,40.0,28.0,5.84,0.856,23.12,50.6777,96.0,Clay
28.0,50.0,22.0,6.54,0.357,2.33,99.52340000000001,412.8,Clay
20.0,44.0,36.0,7.24,0.365,2.11,14.5873,378.0,Clay
36.0,34.0,30.0,5.08,0.224,5.94,56.7462,193.2,Clay loam
24.0,46.0,30.0,6.89,0.427,9.91,73.0968,319.2,Clay
32.0,46.0,22.0,7.25,0.599,24.0,45.8916,345.59999999999997,Clay
24.0,50.0,26.0,6.88,0.985,52.18,26.6785,378.0,Clay
40.0,28.0,32.0,7.6,0.322,1.59,12.961400000000001,241.2,Clay loam
20.0,32.0,48.0,7.74,0.381,2.82,14.495700000000001,292.8,Clay loam
16.0,32.0,52.0,7.66,0.356,1.67,16.7399,265.2,Clay loam
16.0,42.0,42.0,6.91,0.522,3.74,43.052,489.59999999999997,Silty clay
42.0,24.0,34.0,5.88,0.483,7.44,25.8083,188.4,Loam
20.0,22.0,58.0,7.56,0.425,11.18,47.792300000000004,363.59999999999997,Silt loam
32.0,22.0,46.0,7.69,0.379,10.0,34.9454,216.0,Loam
22.0,46.0,32.0,7.58,0.472,17.26,90.2947,586.8,Clay
28.0,22.0,50.0,7.74,0.321,1.36,10.1905,256.8,Silt loam
34.0,32.0,34.0,7.68,0.302,0.88,18.4803,326.4,Clay loam
48.0,14.0,38.0,7.82,0.46,3.87,26.7472,315.59999999999997,Loam
26.0,22.0,52.0,7.71,0.368,0.88,13.1675,199.2,Silt loam
52.0,14.0,34.0,7.78,0.343,1.63,52.005900000000004,112.8,Loam
52.0,14.0,34.0,7.72,0.394,5.11,50.4945,128.4,Loam
46.0,18.0,36.0,7.67,0.414,10.7,20.2894,163.2,Loam
48.0,18.0,34.0,7.7,0.515,19.37,31.372999999999998,194.4,Loam
38.0,26.0,36.0,7.74,0.52,0.26,57.5019,306.0,Loam
40.0,16.0,44.0,7.78,0.489,20.03,24.754900000000003,242.39999999999998,Loam
46.0,12.0,42.0,7.83,0.57,24.26,29.1517,146.4,Loam
28.0,28.0,44.0,7.74,0.29,5.2,32.7012,212.4,Clay loam
26.0,54.0,20.0,7.7,0.397,16.6,44.9527,583.1999999999999,Clay
32.0,42.0,26.0,7.62,0.365,8.06,34.6935,432.0,Clay
28.0,24.0,48.0,7.84,0.445,14.27,28.3731,136.79999999999998,Loam
32.0,32.0,36.0,7.65,0.405,14.31,19.694,141.6,Clay loam
26.0,52.0,22.0,7.74,0.422,17.83,20.7932,392.4,Clay
26.0,44.0,30.0,7.72,0.562,23.73,10.2134,271.2,Clay
32.0,38.0,30.0,6.93,0.53,11.23,47.3572,398.4,Clay loam
44.0,34.0,22.0,5.61,0.246,14.27,47.5633,325.2,Sandy clay loam
26.0,50.0,24.0,5.61,0.225,16.78,53.357,382.8,Clay
44.0,38.0,18.0,7.58,0.337,4.05,47.746500000000005,330.0,Sandy clay loam
38.0,32.0,30.0,7.62,0.336,7.57,17.701700000000002,346.8,Clay loam
36.0,38.0,26.0,7.66,0.343,6.08,17.701700000000002,338.4,Sandy clay loam
54.0,18.0,28.0,7.63,0.427,14.62,27.9151,234.0,Loam
30.0,38.0,32.0,7.57,0.348,10.88,17.976499999999998,562.8,Clay loam
32.0,38.0,30.0,7.08,0.535,16.38,28.4189,355.2,Clay loam
24.0,44.0,32.0,7.62,0.508,27.78,12.2515,382.8,Clay
24.0,44.0,32.0,7.54,0.411,17.3,50.7922,704.4,Clay
42.0,34.0,24.0,7.6,0.378,10.74,16.7399,308.4,Sandy clay loam
28.0,44.0,28.0,5.72,0.24,10.0,52.2578,327.59999999999997,Clay
24.0,46.0,30.0,6.49,0.778,12.81,46.3267,462.0,Clay
40.0,30.0,30.0,7.04,0.5,9.11,40.5788,427.2,Clay loam
32.0,30.0,38.0,7.46,0.496,21.75,26.861700000000003,414.0,Clay loam
30.0,40.0,30.0,7.63,0.384,11.4,38.1743,345.59999999999997,Clay
40.0,30.0,30.0,7.64,0.383,17.3,29.8158,220.79999999999998,Clay loam
40.0,34.0,26.0,7.57,0.37,9.47,18.846700000000002,274.8,Sandy clay loam
30.0,32.0,38.0,7.69,0.427,17.17,32.3119,321.59999999999997,Clay loam
30.0,42.0,28.0,7.65,0.379,16.25,19.9459,316.8,Clay
24.0,42.0,34.0,7.36,0.447,21.05,15.3888,435.59999999999997,Clay
38.0,34.0,28.0,5.31,0.214,12.2,19.923,186.0,Clay loam
62.0,14.0,24.0,7.43,0.549,23.64,27.594500000000004,188.4,Loam
30.0,36.0,34.0,6.7,0.392,9.25,56.5401,182.4,Clay loam
40.0,26.0,34.0,5.22,0.454,26.64,41.1284,104.39999999999999,Loam
28.0,46.0,26.0,5.8,0.252,11.23,30.9379,259.2,Clay
44.0,30.0,26.0,5.37,0.219,7.71,48.548,182.4,Sandy clay loam
50.0,16.0,34.0,5.57,0.195,5.99,43.326800000000006,165.6,Loam
54.0,16.0,30.0,6.01,0.194,7.66,27.5716,141.6,Loam
68.0,10.0,22.0,7.06,0.516,3.87,36.66290000000001,110.39999999999999,Loam
66.0,10.0,24.0,5.47,0.146,8.63,45.0214,103.2,Loam
40.0,22.0,38.0,7.48,0.901,45.57,349.04179999999997,916.8,Loam
40.0,28.0,32.0,7.53,0.41,6.03,27.1136,379.2,Clay loam
26.0,44.0,30.0,7.21,0.513,7.53,44.059599999999996,511.2,Clay
50.0,32.0,18.0,7.02,0.51,6.96,57.31870000000001,301.2,Sandy clay loam
44.0,32.0,24.0,7.15,0.554,6.78,22.3275,158.4,Sandy clay loam
38.0,34.0,28.0,5.4,0.164,7.35,19.373400000000004,242.39999999999998,Clay loam
54.0,20.0,26.0,7.5,0.406,7.75,13.3965,193.2,Sandy loam
48.0,28.0,24.0,7.49,0.483,6.56,65.05890000000001,301.2,Sandy clay loam
28.0,44.0,28.0,6.38,0.838,8.1,42.1131,284.4,Clay
48.0,20.0,32.0,7.51,0.402,16.6,17.2666,289.2,Loam
28.0,40.0,32.0,5.27,0.173,3.21,28.2586,244.79999999999998,Clay
48.0,22.0,30.0,4.94,0.175,3.74,26.9991,112.8,Loam
34.0,28.0,38.0,7.26,0.399,10.66,20.152,321.59999999999997,Clay loam
40.0,30.0,30.0,5.12,0.212,7.57,22.0756,211.2,Clay loam
38.0,40.0,22.0,5.26,0.233,13.78,46.257999999999996,313.2,Clay
32.0,36.0,32.0,5.72,0.224,14.53,46.143499999999996,358.8,Clay loam
18.0,52.0,30.0,7.26,0.408,17.35,8.381400000000001,490.79999999999995,Clay
18.0,52.0,30.0,6.15,0.295,14.88,24.525900000000004,661.1999999999999,Clay
26.0,40.0,34.0,5.78,0.229,8.89,40.533,486.0,Clay
36.0,32.0,32.0,5.87,0.359,22.98,42.548199999999994,310.8,Clay loam
28.0,44.0,28.0,6.4,0.394,6.21,33.2508,406.8,Clay
26.0,40.0,34.0,7.15,0.378,29.41,67.555,645.6,Clay
18.0,56.0,26.0,7.57,0.628,32.23,18.4803,418.8,Clay
26.0,48.0,26.0,5.55,0.243,2.82,54.3875,525.6,Clay
34.0,26.0,40.0,6.83,0.49,12.42,183.5206,808.8,Loam
46.0,18.0,36.0,6.04,0.173,5.28,19.0757,218.4,Loam
22.0,50.0,28.0,4.88,0.224,4.76,34.8996,390.0,Clay
28.0,42.0,30.0,4.8,0.145,1.72,33.0447,390.0,Clay
26.0,44.0,30.0,4.67,0.141,5.37,27.090700000000002,376.8,Clay
14.0,50.0,36.0,7.08,0.424,4.54,15.915500000000002,788.4,Clay
22.0,48.0,30.0,4.77,0.195,9.38,19.4421,355.2,Clay
26.0,46.0,28.0,4.7,0.146,3.04,25.3045,412.8,Clay
24.0,46.0,30.0,4.9,0.157,5.11,25.4419,327.59999999999997,Clay
30.0,38.0,32.0,4.66,0.178,5.77,32.5409,262.8,Clay loam
48.0,24.0,28.0,6.05,0.206,0.97,25.7625,182.4,Loam
40.0,22.0,38.0,6.3,0.178,3.26,24.045,110.39999999999999,Loam
42.0,12.0,46.0,5.83,0.189,9.42,21.251199999999997,55.199999999999996,Loam
30.0,16.0,54.0,5.12,0.137,2.69,26.7701,72.0,Silt loam
56.0,8.0,36.0,5.38,0.15,3.48,97.89750000000001,124.8,Loam
48.0,10.0,42.0,5.33,0.292,16.64,85.09639999999999,278.4,Loam
56.0,10.0,34.0,5.4,0.315,17.92,9.2516,62.4,Loam
56.0,8.0,36.0,5.3,0.197,9.82,19.1902,37.199999999999996,Loam
42.0,18.0,40.0,5.25,0.286,16.86,24.915200000000002,85.2,Loam
50.0,22.0,28.0,6.72,0.431,18.54,27.7319,153.6,Loam
48.0,26.0,26.0,7.09,0.455,16.03,22.5336,194.4,Sandy loam
40.0,14.0,46.0,5.27,0.239,6.56,49.8991,115.19999999999999,Loam
38.0,30.0,32.0,6.58,0.414,8.41,5.9082,199.2,Clay loam
48.0,20.0,32.0,5.4,0.157,7.0,13.0759,108.0,Loam
42.0,28.0,30.0,5.92,0.384,23.25,10.6943,134.4,Clay loam
40.0,32.0,28.0,6.79,0.771,20.47,25.945700000000002,164.4,Clay loam
32.0,44.0,24.0,7.06,0.368,9.73,32.289,219.6,Clay
32.0,30.0,38.0,7.43,0.364,11.93,8.6333,145.2,Clay loam
20.0,44.0,36.0,7.51,0.346,13.03,9.0455,141.6,Clay
32.0,36.0,32.0,4.89,0.338,23.12,20.083299999999998,177.6,Clay loam
44.0,24.0,32.0,4.49,0.337,24.0,35.1515,128.4,Loam
32.0,30.0,38.0,6.2,0.359,17.52,11.6332,164.4,Clay loam
30.0,40.0,30.0,4.95,0.618,41.74,36.5942,303.59999999999997,Clay
20.0,54.0,26.0,6.02,0.265,13.83,16.1674,582.0,Clay
22.0,52.0,26.0,5.49,0.204,13.17,42.96040000000001,435.59999999999997,Clay
32.0,36.0,32.0,4.91,0.28,17.74,28.1899,190.79999999999998,Clay loam
28.0,50.0,22.0,7.25,0.467,18.89,20.152,546.0,Clay
44.0,26.0,30.0,5.92,0.804,21.4,56.9065,184.79999999999998,Loam
38.0,34.0,28.0,5.3,1.148,63.4,33.548500000000004,448.8,Clay loam
54.0,22.0,24.0,6.98,0.627,15.94,39.9376,170.4,Sandy loam
64.0,18.0,18.0,6.78,0.523,10.22,33.4111,240.0,Loam
30.0,42.0,28.0,5.12,0.483,26.9,31.6249,378.0,Clay
38.0,34.0,28.0,4.93,0.269,20.12,23.6786,199.2,Clay loam
44.0,28.0,28.0,4.67,0.283,16.16,16.9689,114.0,Clay loam
68.0,10.0,22.0,7.87,0.296,5.55,8.3127,87.6,Loam
54.0,22.0,24.0,7.46,0.38,5.9,23.838900000000002,309.59999999999997,Sandy loam
36.0,34.0,30.0,4.55,0.163,8.98,11.6103,500.4,Clay loam
44.0,14.0,42.0,5.07,0.287,13.83,21.915300000000002,277.2,Loam
48.0,26.0,26.0,4.76,0.153,8.06,25.419,178.79999999999998,Sandy loam
48.0,20.0,32.0,4.98,0.14,5.55,19.373400000000004,121.19999999999999,Loam
36.0,22.0,42.0,6.76,0.762,8.37,58.280499999999996,170.4,Loam
30.0,24.0,46.0,6.5,0.245,6.6,20.3581,202.79999999999998,Loam
42.0,18.0,40.0,5.22,0.18,8.01,18.1368,153.6,Loam
32.0,16.0,52.0,5.15,0.312,13.69,25.6251,144.0,Silt loam
34.0,30.0,36.0,6.07,0.475,25.01,14.1064,210.0,Clay loam
38.0,22.0,40.0,5.23,0.265,5.81,13.6484,184.79999999999998,Loam
56.0,10.0,34.0,5.85,0.31,4.84,94.66860000000001,127.19999999999999,Loam
38.0,24.0,38.0,6.12,0.378,19.55,54.2272,205.2,Loam
38.0,24.0,38.0,5.28,0.144,11.32,93.7526,320.4,Loam
26.0,34.0,40.0,5.4,0.191,13.12,12.274400000000002,555.6,Clay loam
40.0,22.0,38.0,7.25,0.486,11.76,36.5942,234.0,Loam
38.0,22.0,40.0,6.77,0.34,9.11,63.41010000000001,289.2,Loam
56.0,18.0,26.0,6.0,0.32,16.56,78.1119,374.4,Loam
30.0,24.0,46.0,5.63,0.225,16.25,21.3428,241.2,Loam
34.0,24.0,42.0,5.84,0.348,18.27,21.5031,200.4,Loam
36.0,32.0,32.0,7.26,0.45,13.03,123.0875,926.4,Clay loam
30.0,36.0,34.0,7.51,0.414,8.94,12.274400000000002,483.59999999999997,Clay loam
54.0,18.0,28.0,5.0,0.349,14.05,9.7325,182.4,Loam
