Sand,Clay,Silt,pH,EC,N,,K,SoilType
10.0,36.0,54.0,7.77,1.103,12.285778,49.09760000000001,831.6,Clay loam
16.0,32.0,52.0,7.87,0.402,5.945314,14.5415,279.59999999999997,Clay loam
16.0,42.0,42.0,7.87,0.452,6.076278,44.9985,357.59999999999997,Silty clay
20.0,30.0,50.0,7.88,0.394,5.635968,50.38,354.0,Clay loam
16.0,28.0,56.0,7.86,0.744,27.73953,199.9857,1556.3999999999999,Clay loam
22.0,44.0,34.0,7.73,0.428,10.391316,32.1058,408.0,Clay
10.0,24.0,66.0,7.92,0.47,12.152556,21.983999999999998,248.39999999999998,Silt loam
14.0,22.0,64.0,8.14,0.5,18.404958,25.281599999999997,195.6,Silt loam
10.0,22.0,68.0,8.02,0.406,7.309146,21.480200000000004,196.79999999999998,Silt loam
20.0,56.0,24.0,6.37,1.232,79.079676,79.4859,415.2,Clay
30.0,18.0,52.0,7.88,0.468,11.624184,27.4571,172.79999999999998,Silt loam
40.0,12.0,48.0,7.47,2.03,102.813514,19.8772,130.79999999999998,Loam
40.0,32.0,28.0,7.66,0.321,2.729922,23.4725,238.79999999999998,Clay loam
22.0,40.0,38.0,7.78,0.373,7.221084,23.151899999999998,308.4,Clay
40.0,28.0,32.0,7.91,0.735,7.133022,9.457699999999999,175.2,Clay loam
20.0,54.0,26.0,7.9,0.329,7.97074,10.969100000000001,307.2,Clay
24.0,44.0,32.0,7.83,0.311,5.019534,39.868900000000004,340.8,Clay
36.0,34.0,30.0,6.76,0.689,7.573332,34.35,168.0,Clay loam
44.0,26.0,30.0,5.76,0.215,1.36609,71.7915,261.59999999999997,Loam
40.0,22.0,38.0,5.75,0.171,1.894462,14.5415,108.0,Loam
44.0,24.0,32.0,7.82,0.451,5.547906,36.2278,380.4,Loam
36.0,36.0,28.0,7.68,0.35,7.04496,34.052299999999995,310.8,Clay loam
22.0,42.0,36.0,7.81,0.42,11.536122,167.3532,1111.2,Clay
30.0,30.0,40.0,8.01,0.32,23.117404,21.5947,373.2,Clay loam
22.0,46.0,32.0,7.99,0.435,37.250226,11.7477,266.4,Clay
30.0,28.0,42.0,8.03,0.313,24.128988,18.549,366.0,Clay loam
30.0,32.0,38.0,6.24,0.603,17.129188,15.526200000000001,177.6,Clay loam
